name;category;protein;vegetables;starches;dairy_products;sauce;price;nutri_score;id
Mediterranean Chicken bowl with tomatoes;Poultry;chicken;tomatoes | green beans;sweet potatoes;greek yogurt;olive oil dressing;5.30;A;43
Mediterranean Shrimp over wild rice;Shellfish;shrimp;sweet corn | carrots | peas;wild rice;cottage cheese;basil sauce;5.30;A;44
Tangy Kidney beans bowl with sweet corn;Vegetarian;kidney beans;sweet corn;wild rice;none;lemon herb sauce;5.20;A;45
Crispy Anchovies bowl with celery;Fish;anchovies;celery;potatoes;none;ginger soy glaze;5.30;A;46
Herb Paneer bowl with spinach;Vegetarian;paneer;spinach;pasta;mozzarella;basil sauce;5.50;A;47
Paneer over sweet potatoes;Vegetarian;paneer;kale | mushrooms | cabbage;sweet potatoes;cottage cheese;tomato sauce;5.30;A;48
Black beans wild rice plate with bell peppers;Vegetarian;black beans;bell peppers;wild rice;feta;tahini sauce;5.50;A;49
Shrimp tempura over polenta;Shellfish;shrimp tempura;carrots | peas | beetroot;polenta;mozzarella;olive oil dressing;5.40;A;50
Tempeh in ginger soy glaze over potatoes;Vegetarian;tempeh;broccoli;potatoes;mozzarella;ginger soy glaze;5.40;A;51
Calamari and cabbage udon noodles mix;Shellfish;calamari;cabbage;udon noodles;none;basil sauce;5.20;A;52
Paneer polenta plate with cauliflower;Vegetarian;paneer;cauliflower | squash | cabbage;polenta;cottage cheese;soy sauce;5.00;A;53
Turkey with sweet potatoes & vegetables;Poultry;turkey;peas | asparagus;sweet potatoes;none;ginger soy glaze;5.20;A;54
Cheese omelette with potatoes and zucchini;Vegetarian;cheese omelette;zucchini | squash | mushrooms;potatoes;cottage cheese;pesto;5.10;A;55
Beef bulgur bowl with asparagus & broccoli;Red meat;beef;asparagus | broccoli;bulgur;none;lemon herb sauce;5.20;A;56
Salmon with udon noodles & vegetables;Fish;salmon;bell peppers | leeks | tomatoes;udon noodles;mozzarella;ginger soy glaze;5.30;A;57
Chickpeas over couscous;Vegetarian;chickpeas;leeks;couscous;none;ginger soy glaze;5.40;A;58
Roasted Tempeh with kale & rice;Vegetarian;tempeh;kale;rice;greek yogurt;olive oil dressing;5.20;A;59
Trout with sweet potatoes & vegetables;Fish;trout;cabbage | mushrooms | cauliflower;sweet potatoes;greek yogurt;tahini sauce;5.20;A;60
Sesame Calamari bowl with broccoli;Shellfish;calamari;broccoli;wild rice;feta;soy sauce;5.00;A;61
Quinoa bowl with shrimp tempura and green vegetables;Shellfish;shrimp tempura;kale | broccoli | cabbage;quinoa;mozzarella;olive oil dressing;5.50;A;62
Black beans with polenta & vegetables;Vegetarian;black beans;asparagus | squash | cauliflower;polenta;mozzarella;soy sauce;5.30;A;63
Meatballs over udon noodles;Red meat;meatballs;spinach | celery | onions;udon noodles;cottage cheese;pesto;5.20;A;64
Grilled Kidney beans over rice;Vegetarian;kidney beans;celery | cauliflower;rice;cottage cheese;chimichurri;5.50;A;65
Anchovies with wild rice & vegetables;Fish;anchovies;squash | mushrooms | asparagus;wild rice;none;tahini sauce;5.50;A;66
Quinoa bowl with shrimp tempura & lemon herb sauce;Shellfish;shrimp tempura;leeks | spinach | green beans;quinoa;none;lemon herb sauce;5.40;A;67
Roasted ham with bulgur & vegetables;Red meat;roasted ham;carrots | leeks | mushrooms;bulgur;mozzarella;chimichurri;5.50;A;68
Udon noodle bowl with roasted ham and vegetables;Red meat;roasted ham;eggplant | zucchini;udon noodles;mozzarella;basil sauce;5.40;A;69
Shrimp tempura with potatoes & vegetables;Shellfish;shrimp tempura;leeks | carrots | squash;potatoes;ricotta;chimichurri;5.10;A;70
Grilled Anchovies over wild rice;Fish;anchovies;celery | broccoli;wild rice;greek yogurt;basil sauce;5.50;A;71
Calamari in olive oil dressing over barley;Shellfish;calamari;kale | cabbage | spinach;barley;ricotta;olive oil dressing;5.40;A;72
Seared tuna and green beans quinoa mix;Fish;seared tuna;green beans;quinoa;greek yogurt;pesto;5.40;A;73
Cod with polenta & vegetables;Fish;cod;broccoli | kale | zucchini;polenta;cottage cheese;ginger soy glaze;5.30;A;74
Shrimp in tomato sauce with spinach & barley;Shellfish;shrimp;spinach | celery;barley;feta;tomato sauce;5.00;A;75
Meatballs over wild rice;Red meat;meatballs;cauliflower | celery;wild rice;ricotta;basil sauce;5.20;A;76
Anchovies with wild rice and cauliflower & zucchini;Fish;anchovies;cauliflower | zucchini;wild rice;mozzarella;tahini sauce;5.40;A;77
Turkey in soy sauce over sweet potatoes;Poultry;turkey;cauliflower | eggplant;sweet potatoes;ricotta;soy sauce;5.50;A;78
Tangy Chicken bowl with carrots;Poultry;chicken;carrots | sweet corn;quinoa;mozzarella;lemon herb sauce;5.10;A;79
Buttery Seitan over barley;Vegetarian;seitan;onions | kale;barley;cottage cheese;lemon herb sauce;5.40;A;80
Sesame Seitan bowl with spinach;Vegetarian;seitan;spinach;wild rice;ricotta;tahini sauce;5.30;A;81
Black beans over rice;Vegetarian;black beans;squash;rice;feta;lemon herb sauce;5.30;A;82
Salmon and peas barley mix;Fish;salmon;peas;barley;ricotta;tahini sauce;5.50;A;83
Seitan in ginger soy glaze over wild rice;Vegetarian;seitan;peas;wild rice;none;ginger soy glaze;5.10;A;84
Couscous with whitefish, cauliflower & eggplant;Fish;whitefish;cauliflower | eggplant;couscous;ricotta;soy sauce;5.20;A;85
Quinoa bowl with eggs, green beans, asparagus & squash;Vegetarian;eggs;green beans | asparagus | squash;quinoa;mozzarella;tahini sauce;5.40;A;86
Roasted Chicken bowl with beetroot;Poultry;chicken;beetroot | asparagus | tomatoes;rice;cottage cheese;chimichurri;5.30;A;87
Salmon in tomato sauce over potatoes;Fish;salmon;cauliflower | kale;potatoes;mozzarella;tomato sauce;5.40;A;88
Tangy Chicken over couscous;Poultry;chicken;zucchini | peas;couscous;mozzarella;lemon herb sauce;5.10;A;89
Roasted ham over polenta;Red meat;roasted ham;bell peppers | spinach | eggplant;polenta;cottage cheese;chimichurri;5.30;A;90
Seared tuna wild rice plate with spinach;Fish;seared tuna;spinach | squash;wild rice;greek yogurt;basil sauce;5.30;A;91
Lamb in basil sauce over udon noodles;Red meat;lamb;asparagus | mushrooms | cauliflower;udon noodles;ricotta;basil sauce;5.20;A;92
Tuna with sweet potatoes, sweet corn, cabbage & squash;Fish;tuna;sweet corn | cabbage | squash;sweet potatoes;cottage cheese;tahini sauce;5.20;A;93
Tangy Roasted ham bowl with cauliflower;Red meat;roasted ham;cauliflower;potatoes;none;chimichurri;5.40;A;94
Lentils in olive oil dressing over pasta;Vegetarian;lentils;mushrooms | tomatoes;pasta;mozzarella;olive oil dressing;5.50;A;95
Eggs with wild rice, carrots, spinach & celery;Vegetarian;eggs;carrots | spinach | celery;wild rice;mozzarella;tahini sauce;5.00;A;96
Seared tuna over couscous;Fish;seared tuna;squash | broccoli | asparagus;couscous;greek yogurt;tomato sauce;5.00;A;97
Tofu quinoa plate with squash;Vegetarian;tofu;squash;quinoa;none;chimichurri;5.50;A;98
Sausage in soy sauce over pasta;Red meat;sausage;zucchini | carrots | spinach;pasta;greek yogurt;soy sauce;5.20;A;99
Roasted Calamari bowl with peas;Shellfish;calamari;peas;sweet potatoes;ricotta;soy sauce;5.40;A;100
Lentils and mushrooms pasta mix;Vegetarian;lentils;mushrooms;pasta;cottage cheese;ginger soy glaze;5.50;A;101
Crispy Veal over potatoes;Red meat;veal;cabbage | cauliflower;potatoes;ricotta;olive oil dressing;5.20;A;102
Cod with bulgur, squash & cabbage;Fish;cod;squash | cabbage;bulgur;cottage cheese;tomato sauce;5.40;A;103
Cheese omelette in tomato sauce over pasta;Vegetarian;cheese omelette;carrots | green beans;pasta;feta;tomato sauce;5.50;A;104
Smoky Chickpeas with zucchini & couscous;Vegetarian;chickpeas;zucchini;couscous;cottage cheese;ginger soy glaze;5.20;A;105
Steak strips with barley, asparagus, mushrooms & cabbage;Red meat;steak strips;asparagus | mushrooms | cabbage;barley;greek yogurt;soy sauce;5.10;A;106
Beef with bulgur, sweet corn & peas;Red meat;beef;sweet corn | peas;bulgur;ricotta;pesto;5.10;A;107
Cheese omelette and kale quinoa mix;Vegetarian;cheese omelette;kale | tomatoes;quinoa;greek yogurt;soy sauce;5.40;A;108
Steak strips with rice, celery, onions & eggplant;Red meat;steak strips;celery | onions | eggplant;rice;cottage cheese;olive oil dressing;5.50;A;109
Tuna and eggplant bulgur mix;Fish;tuna;eggplant | onions;bulgur;mozzarella;olive oil dressing;5.10;A;110
Cheese omelette bowl with mushrooms;Vegetarian;cheese omelette;mushrooms | carrots;wild rice;cottage cheese;ginger soy glaze;5.20;A;111
Smoky Seitan bowl with peas;Vegetarian;seitan;peas | celery;quinoa;greek yogurt;chimichurri;5.20;A;112
Smoked turkey udon bowl with vegetables;Poultry;smoked turkey;beetroot | spinach | bell peppers;udon noodles;ricotta;lemon herb sauce;5.40;A;113
Hake with wild rice, sweet corn & cauliflower;Fish;hake;sweet corn | cauliflower;wild rice;mozzarella;olive oil dressing;5.20;A;114
Beef couscous plate with peas;Red meat;beef;peas;couscous;greek yogurt;chimichurri;5.40;A;115
Grilled seitan with bulgur, kale & beetroot;Vegetarian;seitan;kale | beetroot;bulgur;ricotta;chimichurri;5.50;A;116
Zesty Chicken over couscous;Poultry;chicken;bell peppers;couscous;mozzarella;tomato sauce;5.30;A;117
Whitefish with eggplant & rice;Fish;whitefish;eggplant;rice;ricotta;chimichurri;5.30;A;118
Cheese omelette and asparagus bulgur mix;Vegetarian;cheese omelette;asparagus | carrots | celery;bulgur;none;lemon herb sauce;5.20;A;119
Seitan with gnocchi, peas & kale;Vegetarian;seitan;peas | kale;gnocchi;ricotta;chimichurri;5.40;A;120
Paneer in chimichurri over barley;Vegetarian;paneer;onions | peas;barley;none;chimichurri;5.50;B;121
Whitefish with wild rice and bell peppers;Fish;whitefish;bell peppers;wild rice;feta;lemon herb sauce;5.10;B;122
Salmon with polenta, leeks, beetroot & carrots;Fish;salmon;leeks | beetroot | carrots;polenta;greek yogurt;tahini sauce;5.30;B;123
Lamb with sweet potatoes, green beans, beetroot & bell peppers;Red meat;lamb;green beans | beetroot | bell peppers;sweet potatoes;feta;basil sauce;5.30;B;124
Black beans in tahini sauce over quinoa;Vegetarian;black beans;carrots | peas | squash;quinoa;feta;tahini sauce;5.00;B;125
Chickpeas with gnocchi, sweet corn & spinach;Vegetarian;chickpeas;sweet corn | spinach;gnocchi;ricotta;ginger soy glaze;5.20;B;126
Roasted ham and broccoli gnocchi mix;Red meat;roasted ham;broccoli;gnocchi;none;chimichurri;5.50;B;127
Roasted Duck over brown rice;Poultry;duck;cabbage | leeks | mushrooms;brown rice;cottage cheese;tahini sauce;5.20;B;128
Black beans and cauliflower wild rice mix;Vegetarian;black beans;cauliflower | kale;wild rice;none;tahini sauce;5.00;B;129
Seitan with bulgur, squash, zucchini & leeks;Vegetarian;seitan;squash | zucchini | leeks;bulgur;greek yogurt;olive oil dressing;5.40;B;130
Crispy Pork with green beans & brown rice;Red meat;pork;green beans | peas;brown rice;greek yogurt;lemon herb sauce;5.30;B;131
Mediterranean Hake over gnocchi;Fish;hake;cabbage | tomatoes;gnocchi;cottage cheese;lemon herb sauce;5.40;B;132
Calamari couscous bowl with vegetables;Shellfish;calamari;cabbage | broccoli | squash;couscous;none;pesto;5.40;B;133
Tangy Cod over brown rice;Fish;cod;kale | broccoli;brown rice;mozzarella;chimichurri;5.30;B;134
Creamy Black beans over gnocchi;Vegetarian;black beans;carrots | asparagus;gnocchi;greek yogurt;ginger soy glaze;5.00;B;135
Calamari with barley, beetroot, peas & mushrooms;Shellfish;calamari;beetroot | peas | mushrooms;barley;cottage cheese;olive oil dressing;5.40;B;136
Trout in tomato sauce over barley;Fish;trout;celery | peas;barley;greek yogurt;tomato sauce;5.30;B;137
Mediterranean Kidney beans bowl with cabbage;Vegetarian;kidney beans;cabbage | kale;polenta;greek yogurt;chimichurri;5.40;B;138
Mackerel with gnocchi, asparagus & kale;Fish;mackerel;asparagus | kale;gnocchi;mozzarella;basil sauce;5.40;B;139
Tuna over pasta;Fish;tuna;sweet corn;pasta;mozzarella;tahini sauce;5.10;B;140
Turkey with pasta, bell peppers & kale;Poultry;turkey;bell peppers | kale;pasta;mozzarella;olive oil dressing;5.00;B;141
Meatballs polenta plate with cauliflower;Red meat;meatballs;cauliflower;polenta;mozzarella;pesto;5.00;B;142
Hake bowl with cauliflower;Fish;hake;cauliflower | peas;brown rice;ricotta;olive oil dressing;5.30;B;143
Smoky Paneer over wild rice;Vegetarian;paneer;mushrooms | squash | eggplant;wild rice;greek yogurt;basil sauce;5.20;B;144
Roasted eggs with wild rice & vegetables;Vegetarian;eggs;sweet corn | cabbage | squash;wild rice;feta;chimichurri;5.00;B;145
Grilled Salmon over polenta;Fish;salmon;eggplant | onions | squash;polenta;mozzarella;tahini sauce;5.30;B;146
Cheese omelette in tomato sauce over sweet potatoes;Vegetarian;cheese omelette;zucchini | beetroot;sweet potatoes;none;tomato sauce;5.00;B;147
Black beans with udon noodles, sweet corn, cauliflower & eggplant;Vegetarian;black beans;sweet corn | cauliflower | eggplant;udon noodles;cottage cheese;basil sauce;5.20;B;148
Smoky Hake with onions & brown rice;Fish;hake;onions;brown rice;greek yogurt;pesto;5.00;B;149
Eggs with gnocchi, onions, squash & tomatoes;Vegetarian;eggs;onions | squash | tomatoes;gnocchi;ricotta;soy sauce;5.40;B;150
Sesame Tempeh over pasta;Vegetarian;tempeh;spinach | leeks;pasta;ricotta;olive oil dressing;5.00;B;151
Mediterranean Tempeh over barley;Vegetarian;tempeh;broccoli | sweet corn;barley;feta;pesto;5.30;B;152
Turkey with couscous, broccoli, leeks & bell peppers;Poultry;turkey;broccoli | leeks | bell peppers;couscous;ricotta;chimichurri;5.50;B;153
Smoked turkey gnocchi plate with broccoli;Poultry;smoked turkey;broccoli | onions;gnocchi;mozzarella;pesto;5.50;B;154
Veal with wild rice, celery, beetroot & broccoli;Red meat;veal;celery | beetroot | broccoli;wild rice;ricotta;ginger soy glaze;5.20;B;155
Buttery Tofu bowl;Vegetarian;tofu;leeks | green beans | asparagus;potatoes;mozzarella;ginger soy glaze;5.00;B;156
Mackerel with gnocchi, cabbage & asparagus;Fish;mackerel;cabbage | asparagus;gnocchi;ricotta;olive oil dressing;5.50;B;157
Paneer with brown rice, kale & eggplant;Vegetarian;paneer;kale | eggplant;brown rice;mozzarella;tahini sauce;5.20;B;158
Grilled Black beans over wild rice;Vegetarian;black beans;mushrooms | broccoli | leeks;wild rice;none;pesto;5.50;B;159
Veal with barley, mushrooms & zucchini;Red meat;veal;mushrooms | zucchini;barley;ricotta;tomato sauce;5.10;B;160
Shrimp tempura with couscous, celery, carrots & sweet corn;Shellfish;shrimp tempura;celery | carrots | sweet corn;couscous;cottage cheese;ginger soy glaze;5.00;B;161
Duck and cabbage brown rice mix;Poultry;duck;cabbage | sweet corn;brown rice;none;pesto;5.40;B;162
Salmon in chimichurri over sweet potatoes;Fish;salmon;sweet corn | eggplant;sweet potatoes;mozzarella;chimichurri;5.50;B;163
Calamari in soy sauce over quinoa;Shellfish;calamari;carrots | onions;quinoa;mozzarella;soy sauce;5.40;B;164
Smoked turkey with polenta, tomatoes & cauliflower;Poultry;smoked turkey;tomatoes | cauliflower;polenta;none;basil sauce;5.10;B;165
Black beans and green beans potatoes mix;Vegetarian;black beans;green beans | beetroot | onions;potatoes;none;tomato sauce;5.10;B;166
Grilled Meatballs over brown rice;Red meat;meatballs;broccoli;brown rice;greek yogurt;ginger soy glaze;5.10;B;167
Buttery Whitefish over brown rice;Fish;whitefish;cabbage | leeks | onions;brown rice;ricotta;tahini sauce;5.20;B;168
Grilled Pork over pasta;Red meat;pork;peas | broccoli;pasta;ricotta;tomato sauce;5.40;B;169
Veal with polenta, green beans, asparagus & sweet corn;Red meat;veal;green beans | asparagus | sweet corn;polenta;ricotta;chimichurri;5.20;B;170
Roasted Veal with celery & sweet potatoes;Red meat;veal;celery;sweet potatoes;mozzarella;basil sauce;5.20;B;171
Tempeh with brown rice, carrots, spinach & broccoli;Vegetarian;tempeh;carrots | spinach | broccoli;brown rice;ricotta;olive oil dressing;5.00;B;172
Tuna in olive oil dressing over brown rice;Fish;tuna;onions;brown rice;feta;olive oil dressing;5.50;B;173
Whitefish with gnocchi, bell peppers, kale & spinach;Fish;whitefish;bell peppers | kale | spinach;gnocchi;none;chimichurri;5.40;B;174
Tangy Salmon with green beans & barley;Fish;salmon;green beans;barley;greek yogurt;pesto;5.00;B;175
Eggs with rice, onions, cauliflower & cabbage;Vegetarian;eggs;onions | cauliflower | cabbage;rice;ricotta;basil sauce;5.00;B;176
Calamari over bulgur;Shellfish;calamari;tomatoes | spinach;bulgur;feta;lemon herb sauce;5.50;B;177
Seared tuna with quinoa, bell peppers, sweet corn & beetroot;Fish;seared tuna;bell peppers | sweet corn | beetroot;quinoa;mozzarella;basil sauce;5.40;B;178
Eggs with bulgur and onions;Vegetarian;eggs;onions;bulgur;none;tomato sauce;5.00;B;179
Crispy Whitefish over sweet potatoes;Fish;whitefish;sweet corn;sweet potatoes;cottage cheese;tahini sauce;5.00;B;180
Roasted ham with gnocchi, kale & cabbage;Red meat;roasted ham;kale | cabbage;gnocchi;feta;chimichurri;5.40;B;181
Mediterranean Lentils with broccoli, beetroot, zucchini & udon noodles;Vegetarian;lentils;broccoli | beetroot | zucchini;udon noodles;cottage cheese;chimichurri;5.50;B;182
Grilled Seitan over potatoes;Vegetarian;seitan;mushrooms | bell peppers | cabbage;potatoes;mozzarella;ginger soy glaze;5.50;B;183
Paneer in basil sauce over sweet potatoes;Vegetarian;paneer;asparagus;sweet potatoes;feta;basil sauce;5.30;B;184
Tuna in tahini sauce over couscous;Fish;tuna;leeks;couscous;greek yogurt;tahini sauce;5.40;B;185
Crispy Lamb bowl with peas;Red meat;lamb;peas;couscous;cottage cheese;tahini sauce;5.00;B;186
Eggs over quinoa;Vegetarian;eggs;cauliflower | carrots;quinoa;greek yogurt;ginger soy glaze;5.10;B;187
Tempeh in lemon herb sauce over pasta;Vegetarian;tempeh;carrots | sweet corn;pasta;ricotta;lemon herb sauce;5.10;B;188
Buttery Chickpeas over couscous;Vegetarian;chickpeas;beetroot;couscous;mozzarella;soy sauce;5.50;B;189
Turkey with barley, bell peppers, broccoli & green beans;Poultry;turkey;bell peppers | broccoli | green beans;barley;greek yogurt;tomato sauce;5.00;B;190
Smoky mackerel with rice, mushrooms, spinach & zucchini;Fish;mackerel;mushrooms | spinach | zucchini;rice;ricotta;chimichurri;5.30;B;191
Duck in ginger soy glaze over wild rice;Poultry;duck;zucchini | spinach | green beans;wild rice;mozzarella;ginger soy glaze;5.20;B;192
Kidney beans with wild rice, eggplant, zucchini & bell peppers;Vegetarian;kidney beans;eggplant | zucchini | bell peppers;wild rice;greek yogurt;lemon herb sauce;5.30;B;193
Whitefish and beetroot couscous mix;Fish;whitefish;beetroot;couscous;feta;soy sauce;5.00;B;194
Tuna with sweet potatoes, sweet corn, leeks & bell peppers;Fish;tuna;sweet corn | leeks | bell peppers;sweet potatoes;cottage cheese;lemon herb sauce;5.40;B;195
Mackerel with gnocchi, onions & mushrooms;Fish;mackerel;onions | mushrooms;gnocchi;none;tahini sauce;5.30;B;196
Hake with udon noodles, zucchini, spinach & kale;Fish;hake;zucchini | spinach | kale;udon noodles;cottage cheese;chimichurri;5.50;B;197
Anchovies in tomato sauce over sweet potatoes;Fish;anchovies;zucchini;sweet potatoes;ricotta;tomato sauce;5.30;B;198
Mackerel with sweet potatoes, onions & peas;Fish;mackerel;onions | peas;sweet potatoes;greek yogurt;lemon herb sauce;5.10;B;199
Hake with squash & barley;Fish;hake;squash | onions | carrots;barley;mozzarella;soy sauce;5.00;B;200
Seitan with tomatoes & sweet potatoes;Vegetarian;seitan;tomatoes;sweet potatoes;none;tomato sauce;5.20;B;201
Whitefish in pesto over potatoes;Fish;whitefish;peas | zucchini | bell peppers;potatoes;cottage cheese;pesto;5.50;B;202
Tempeh with quinoa, asparagus, carrots & green beans;Vegetarian;tempeh;asparagus | carrots | green beans;quinoa;cottage cheese;ginger soy glaze;5.00;B;203
Tofu in chimichurri over polenta;Vegetarian;tofu;sweet corn | kale;polenta;cottage cheese;chimichurri;5.10;B;204
Duck over bulgur;Poultry;duck;spinach;bulgur;cottage cheese;tahini sauce;5.50;B;205
Beef with couscous, carrots, green beans & onions;Red meat;beef;carrots | green beans | onions;couscous;greek yogurt;soy sauce;5.10;B;206
Seared tuna with wild rice, peas, asparagus & cauliflower;Fish;seared tuna;peas | asparagus | cauliflower;wild rice;feta;lemon herb sauce;5.00;B;207
Smoked turkey rice plate with peas;Poultry;smoked turkey;peas;rice;ricotta;tomato sauce;5.20;B;208
Shrimp udon noodles plate with asparagus;Shellfish;shrimp;asparagus;udon noodles;feta;olive oil dressing;5.20;B;209
Smoky meatballs with bulgur, green beans & sweet corn;Red meat;meatballs;green beans | sweet corn;bulgur;feta;ginger soy glaze;5.40;B;210
Paneer over rice with cauliflower & pesto;Vegetarian;paneer;cauliflower;rice;feta;pesto;5.30;B;211
Calamari bulgur plate with squash;Shellfish;calamari;squash;bulgur;none;olive oil dressing;5.20;B;212
Crispy pork with quinoa, green beans & mushrooms;Red meat;pork;green beans | mushrooms;quinoa;mozzarella;basil sauce;5.40;B;213
Duck in lemon herb sauce over bulgur;Poultry;duck;cabbage;bulgur;mozzarella;lemon herb sauce;5.10;B;214
Mackerel with gnocchi, broccoli & beetroot;Fish;mackerel;broccoli | beetroot;gnocchi;mozzarella;pesto;5.00;B;215
Smoky Shrimp tempura over rice;Shellfish;shrimp tempura;tomatoes | zucchini | cauliflower;rice;cottage cheese;tahini sauce;5.00;B;216
Roasted beef with couscous, mushrooms, carrots & peas;Red meat;beef;mushrooms | carrots | peas;couscous;greek yogurt;lemon herb sauce;5.50;B;217
Tangy Beef over brown rice;Red meat;beef;cabbage | spinach | green beans;brown rice;greek yogurt;chimichurri;5.10;B;218
Hake with brown rice and onions;Fish;hake;onions;brown rice;feta;tomato sauce;5.40;B;219
Chickpeas with rice, eggplant, mushrooms & green beans;Vegetarian;chickpeas;eggplant | mushrooms | green beans;rice;none;pesto;5.10;B;220
Meatballs with brown rice, squash, zucchini & leeks;Red meat;meatballs;squash | zucchini | leeks;brown rice;greek yogurt;ginger soy glaze;5.40;B;221
Smoked turkey with bulgur, eggplant, cabbage & celery;Poultry;smoked turkey;eggplant | cabbage | celery;bulgur;none;basil sauce;5.50;B;222
Mackerel with udon noodles, spinach & leeks;Fish;mackerel;spinach | leeks;udon noodles;ricotta;pesto;5.00;B;223
Smoky Seitan over quinoa;Vegetarian;seitan;carrots;quinoa;greek yogurt;pesto;5.10;B;224
