id;dish_name;meal_category;protein_main;vegetables;starches;sauce;dairy;protein_category;nutriscore_calculated;Price
34;Anchovies barley plate with eggplant;Fish;anchovies;eggplant | bell peppers | cauliflower;barley;basil sauce;mozzarella;Fish;A;5.30
35;Mediterranean Seared tuna bowl with squash;Fish;seared tuna;squash | tomatoes;couscous;lemon herb sauce;mozzarella;Fish;A;5.10
36;Quinoa bowl with black beans & vegetables;Vegetarian;black beans;kale | squash | carrots;quinoa;tahini sauce;ricotta;Vegetarian;A;5.00
37;Tempeh and beetroot wild rice mix;Vegetarian;tempeh;beetroot;wild rice;olive oil dressing;mozzarella;Vegetarian;A;5.50
38;Chicken in basil sauce over pasta;Poultry;chicken;spinach;pasta;basil sauce;feta;Poultry;A;5.30
39;Seared tuna bowl with vegetables & rice;Fish;seared tuna;kale | cauliflower | leeks;rice;tomato sauce;ricotta;Fish;A;5.50
40;Herb Calamari with tomatoes & potatoes;Shellfish;calamari;tomatoes;potatoes;basil sauce;none;Shellfish;A;5.20
41;Crispy Shrimp tempura bowl with beetroot;Shellfish;shrimp tempura;beetroot | spinach | kale;barley;basil sauce;feta;Shellfish;A;5.20
42;Tempeh bowl with bulgur & vegetables;Vegetarian;tempeh;carrots | squash;bulgur;soy sauce;mozzarella;Vegetarian;A;5.20
43;Mediterranean Chicken bowl with tomatoes;Poultry;chicken;tomatoes | green beans;sweet potatoes;olive oil dressing;greek yogurt;Poultry;A;5.30
44;Mediterranean Shrimp over wild rice;Shellfish;shrimp;sweet corn | carrots | peas;wild rice;basil sauce;cottage cheese;Shellfish;A;5.30
45;Tangy Kidney beans bowl with sweet corn;Vegetarian;kidney beans;sweet corn;wild rice;lemon herb sauce;none;Vegetarian;A;5.20
46;Crispy Anchovies bowl with celery;Fish;anchovies;celery;potatoes;ginger soy glaze;none;Fish;A;5.30
47;Herb Paneer bowl with spinach;Vegetarian;paneer;spinach;pasta;basil sauce;mozzarella;Vegetarian;A;5.50
48;Paneer over sweet potatoes;Vegetarian;paneer;kale | mushrooms | cabbage;sweet potatoes;tomato sauce;cottage cheese;Vegetarian;A;5.30
49;Black beans wild rice plate with bell peppers;Vegetarian;black beans;bell peppers;wild rice;tahini sauce;feta;Vegetarian;A;5.50
50;Shrimp tempura over polenta;Shellfish;shrimp tempura;carrots | peas | beetroot;polenta;olive oil dressing;mozzarella;Shellfish;A;5.40
51;Tempeh in ginger soy glaze over potatoes;Vegetarian;tempeh;broccoli;potatoes;ginger soy glaze;mozzarella;Vegetarian;A;5.40
52;Calamari and cabbage udon noodles mix;Shellfish;calamari;cabbage;udon noodles;basil sauce;none;Shellfish;A;5.20
53;Paneer polenta plate with cauliflower;Vegetarian;paneer;cauliflower | squash | cabbage;polenta;soy sauce;cottage cheese;Vegetarian;A;5.00
54;Turkey with sweet potatoes & vegetables;Poultry;turkey;peas | asparagus;sweet potatoes;ginger soy glaze;none;Poultry;A;5.20
55;Cheese omelette with potatoes and zucchini;Vegetarian;cheese omelette;zucchini | squash | mushrooms;potatoes;pesto;cottage cheese;Vegetarian;A;5.10
56;Beef bulgur bowl with asparagus & broccoli;Red meat;beef;asparagus | broccoli;bulgur;lemon herb sauce;none;Red meat;A;5.20
57;Salmon with udon noodles & vegetables;Fish;salmon;bell peppers | leeks | tomatoes;udon noodles;ginger soy glaze;mozzarella;Fish;A;5.30
58;Chickpeas over couscous;Vegetarian;chickpeas;leeks;couscous;ginger soy glaze;none;Vegetarian;A;5.40
59;Roasted Tempeh with kale & rice;Vegetarian;tempeh;kale;rice;olive oil dressing;greek yogurt;Vegetarian;A;5.20
60;Trout with sweet potatoes & vegetables;Fish;trout;cabbage | mushrooms | cauliflower;sweet potatoes;tahini sauce;greek yogurt;Fish;A;5.20
61;Sesame Calamari bowl with broccoli;Shellfish;calamari;broccoli;wild rice;soy sauce;feta;Shellfish;A;5.00
62;Quinoa bowl with shrimp tempura and vegetables;Shellfish;shrimp tempura;kale | broccoli | cabbage;quinoa;olive oil dressing;mozzarella;Shellfish;A;5.50
63;Black beans with polenta & vegetables;Vegetarian;black beans;asparagus | squash | cauliflower;polenta;soy sauce;mozzarella;Vegetarian;A;5.30
64;Meatballs over udon noodles;Red meat;meatballs;spinach | celery | onions;udon noodles;pesto;cottage cheese;Red meat;A;5.20
65;Grilled Kidney beans over rice;Vegetarian;kidney beans;celery | cauliflower;rice;chimichurri;cottage cheese;Vegetarian;A;5.50
66;Anchovies with wild rice & vegetables;Fish;anchovies;squash | mushrooms | asparagus;wild rice;tahini sauce;none;Fish;A;5.50
67;Quinoa bowl with shrimp tempura and vegetables;Shellfish;shrimp tempura;leeks | spinach | green beans;quinoa;lemon herb sauce;none;Shellfish;A;5.40
68;Roasted ham with bulgur & vegetables;Red meat;roasted ham;carrots | leeks | mushrooms;bulgur;chimichurri;mozzarella;Red meat;A;5.50
69;Udon noodle bowl with roasted ham and vegetables;Red meat;roasted ham;eggplant | zucchini;udon noodles;basil sauce;mozzarella;Red meat;A;5.40
70;Shrimp tempura with potatoes & vegetables;Shellfish;shrimp tempura;leeks | carrots | squash;potatoes;chimichurri;ricotta;Shellfish;A;5.10
71;Grilled Anchovies over wild rice;Fish;anchovies;celery | broccoli;wild rice;basil sauce;greek yogurt;Fish;A;5.50
72;Calamari in olive oil dressing over barley;Shellfish;calamari;kale | cabbage | spinach;barley;olive oil dressing;ricotta;Shellfish;A;5.40
73;Seared tuna and green beans quinoa mix;Fish;seared tuna;green beans;quinoa;pesto;greek yogurt;Fish;A;5.40
74;Cod with polenta & vegetables;Fish;cod;broccoli | kale | zucchini;polenta;ginger soy glaze;cottage cheese;Fish;A;5.30
75;Shrimp in tomato sauce with spinach & barley;Shellfish;shrimp;spinach | celery;barley;tomato sauce;feta;Shellfish;A;5.00
76;Meatballs over wild rice;Red meat;meatballs;cauliflower | celery;wild rice;basil sauce;ricotta;Red meat;A;5.20
77;Anchovies with wild rice and cauliflower & zucchini;Fish;anchovies;cauliflower | zucchini;wild rice;tahini sauce;mozzarella;Fish;A;5.40
78;Turkey in soy sauce over sweet potatoes;Poultry;turkey;cauliflower | eggplant;sweet potatoes;soy sauce;ricotta;Poultry;A;5.50
79;Tangy Chicken bowl with carrots;Poultry;chicken;carrots | sweet corn;quinoa;lemon herb sauce;mozzarella;Poultry;A;5.10
80;Buttery Seitan over barley;Vegetarian;seitan;onions | kale;barley;lemon herb sauce;cottage cheese;Vegetarian;A;5.40
81;Sesame Seitan bowl with spinach;Vegetarian;seitan;spinach;wild rice;tahini sauce;ricotta;Vegetarian;A;5.30
82;Black beans over rice;Vegetarian;black beans;squash;rice;lemon herb sauce;feta;Vegetarian;A;5.30
83;Salmon and peas barley mix;Fish;salmon;peas;barley;tahini sauce;ricotta;Fish;A;5.50
84;Seitan in ginger soy glaze over wild rice;Vegetarian;seitan;peas;wild rice;ginger soy glaze;none;Vegetarian;A;5.10
85;Couscous with whitefish, cauliflower & eggplant;Fish;whitefish;cauliflower | eggplant;couscous;soy sauce;ricotta;Fish;A;5.20
86;Quinoa bowl with eggs, green beans, asparagus & squash;Vegetarian;eggs;green beans | asparagus | squash;quinoa;tahini sauce;mozzarella;Vegetarian;A;5.40
87;Roasted Chicken bowl with beetroot;Poultry;chicken;beetroot | asparagus | tomatoes;rice;chimichurri;cottage cheese;Poultry;A;5.30
88;Salmon in tomato sauce over potatoes;Fish;salmon;cauliflower | kale;potatoes;tomato sauce;mozzarella;Fish;A;5.40
89;Tangy Chicken over couscous;Poultry;chicken;zucchini | peas;couscous;lemon herb sauce;mozzarella;Poultry;A;5.10
90;Roasted ham over polenta;Red meat;roasted ham;bell peppers | spinach | eggplant;polenta;chimichurri;cottage cheese;Red meat;A;5.30
91;Seared tuna wild rice plate with spinach;Fish;seared tuna;spinach | squash;wild rice;basil sauce;greek yogurt;Fish;A;5.30
92;Lamb in basil sauce over udon noodles;Red meat;lamb;asparagus | mushrooms | cauliflower;udon noodles;basil sauce;ricotta;Red meat;A;5.20
93;Tuna with sweet potatoes, sweet corn, cabbage & squash;Fish;tuna;sweet corn | cabbage | squash;sweet potatoes;tahini sauce;cottage cheese;Fish;A;5.20
94;Tangy Roasted ham bowl with cauliflower;Red meat;roasted ham;cauliflower;potatoes;chimichurri;none;Red meat;A;5.40
95;Lentils in olive oil dressing over pasta;Vegetarian;lentils;mushrooms | tomatoes;pasta;olive oil dressing;mozzarella;Vegetarian;A;5.50
96;Eggs with wild rice, carrots, spinach & celery;Vegetarian;eggs;carrots | spinach | celery;wild rice;tahini sauce;mozzarella;Vegetarian;A;5.00
97;Seared tuna over couscous;Fish;seared tuna;squash | broccoli | asparagus;couscous;tomato sauce;greek yogurt;Fish;A;5.00
98;Tofu quinoa plate with squash;Vegetarian;tofu;squash;quinoa;chimichurri;none;Vegetarian;A;5.50
99;Sausage in soy sauce over pasta;Red meat;sausage;zucchini | carrots | spinach;pasta;soy sauce;greek yogurt;Red meat;A;5.20
100;Roasted Calamari bowl with peas;Shellfish;calamari;peas;sweet potatoes;soy sauce;ricotta;Shellfish;A;5.40
101;Lentils and mushrooms pasta mix;Vegetarian;lentils;mushrooms;pasta;ginger soy glaze;cottage cheese;Vegetarian;A;5.50
102;Crispy Veal over potatoes;Red meat;veal;cabbage | cauliflower;potatoes;olive oil dressing;ricotta;Red meat;A;5.20
103;Cod with bulgur, squash & cabbage;Fish;cod;squash | cabbage;bulgur;tomato sauce;cottage cheese;Fish;A;5.40
104;Cheese omelette in tomato sauce over pasta;Vegetarian;cheese omelette;carrots | green beans;pasta;tomato sauce;feta;Vegetarian;A;5.50
105;Smoky Chickpeas with zucchini & couscous;Vegetarian;chickpeas;zucchini;couscous;ginger soy glaze;cottage cheese;Vegetarian;A;5.20
106;Steak strips with barley, asparagus, mushrooms & cabbage;Red meat;steak strips;asparagus | mushrooms | cabbage;barley;soy sauce;greek yogurt;Red meat;A;5.10
107;Beef with bulgur, sweet corn & peas;Red meat;beef;sweet corn | peas;bulgur;pesto;ricotta;Red meat;A;5.10
108;Cheese omelette and kale quinoa mix;Vegetarian;cheese omelette;kale | tomatoes;quinoa;soy sauce;greek yogurt;Vegetarian;A;5.40
109;Steak strips with rice, celery, onions & eggplant;Red meat;steak strips;celery | onions | eggplant;rice;olive oil dressing;cottage cheese;Red meat;A;5.50
110;Tuna and eggplant bulgur mix;Fish;tuna;eggplant | onions;bulgur;olive oil dressing;mozzarella;Fish;A;5.10
111;Cheese omelette bowl with mushrooms;Vegetarian;cheese omelette;mushrooms | carrots;wild rice;ginger soy glaze;cottage cheese;Vegetarian;A;5.20
112;Smoky Seitan bowl with peas;Vegetarian;seitan;peas | celery;quinoa;chimichurri;greek yogurt;Vegetarian;A;5.20
113;Smoked turkey udon bowl with vegetables;Poultry;smoked turkey;beetroot | spinach | bell peppers;udon noodles;lemon herb sauce;ricotta;Poultry;A;5.40
114;Hake with wild rice, sweet corn & cauliflower;Fish;hake;sweet corn | cauliflower;wild rice;olive oil dressing;mozzarella;Fish;A;5.20
115;Beef couscous plate with peas;Red meat;beef;peas;couscous;chimichurri;greek yogurt;Red meat;A;5.40
116;Grilled seitan with bulgur, kale & beetroot;Vegetarian;seitan;kale | beetroot;bulgur;chimichurri;ricotta;Vegetarian;A;5.50
117;Zesty Chicken over couscous;Poultry;chicken;bell peppers;couscous;tomato sauce;mozzarella;Poultry;A;5.30
118;Whitefish with eggplant & rice;Fish;whitefish;eggplant;rice;chimichurri;ricotta;Fish;A;5.30
119;Cheese omelette and asparagus bulgur mix;Vegetarian;cheese omelette;asparagus | carrots | celery;bulgur;lemon herb sauce;none;Vegetarian;A;5.20
120;Seitan with gnocchi, peas & kale;Vegetarian;seitan;peas | kale;gnocchi;chimichurri;ricotta;Vegetarian;A;5.40
121;Paneer in chimichurri over barley;Vegetarian;paneer;onions | peas;barley;chimichurri;none;Vegetarian;B;5.50
122;Whitefish with wild rice and bell peppers;Fish;whitefish;bell peppers;wild rice;lemon herb sauce;feta;Fish;B;5.10
123;Salmon with polenta, leeks, beetroot & carrots;Fish;salmon;leeks | beetroot | carrots;polenta;tahini sauce;greek yogurt;Fish;B;5.30
124;Lamb with sweet potatoes, green beans, beetroot & bell peppers;Red meat;lamb;green beans | beetroot | bell peppers;sweet potatoes;basil sauce;feta;Red meat;B;5.30
125;Black beans in tahini sauce over quinoa;Vegetarian;black beans;carrots | peas | squash;quinoa;tahini sauce;feta;Vegetarian;B;5.00
126;Chickpeas with gnocchi, sweet corn & spinach;Vegetarian;chickpeas;sweet corn | spinach;gnocchi;ginger soy glaze;ricotta;Vegetarian;B;5.20
127;Roasted ham and broccoli gnocchi mix;Red meat;roasted ham;broccoli;gnocchi;chimichurri;none;Red meat;B;5.50
128;Roasted Duck over brown rice;Poultry;duck;cabbage | leeks | mushrooms;brown rice;tahini sauce;cottage cheese;Poultry;B;5.20
129;Black beans and cauliflower wild rice mix;Vegetarian;black beans;cauliflower | kale;wild rice;tahini sauce;none;Vegetarian;B;5.00
130;Seitan with bulgur, squash, zucchini & leeks;Vegetarian;seitan;squash | zucchini | leeks;bulgur;olive oil dressing;greek yogurt;Vegetarian;B;5.40
131;Crispy Pork with green beans & brown rice;Red meat;pork;green beans | peas;brown rice;lemon herb sauce;greek yogurt;Red meat;B;5.30
132;Mediterranean Hake over gnocchi;Fish;hake;cabbage | tomatoes;gnocchi;lemon herb sauce;cottage cheese;Fish;B;5.40
133;Calamari couscous bowl with vegetables;Shellfish;calamari;cabbage | broccoli | squash;couscous;pesto;none;Shellfish;B;5.40
134;Tangy Cod over brown rice;Fish;cod;kale | broccoli;brown rice;chimichurri;mozzarella;Fish;B;5.30
135;Creamy Black beans over gnocchi;Vegetarian;black beans;carrots | asparagus;gnocchi;ginger soy glaze;greek yogurt;Vegetarian;B;5.00
136;Calamari with barley, beetroot, peas & mushrooms;Shellfish;calamari;beetroot | peas | mushrooms;barley;olive oil dressing;cottage cheese;Shellfish;B;5.40
137;Trout in tomato sauce over barley;Fish;trout;celery | peas;barley;tomato sauce;greek yogurt;Fish;B;5.30
138;Mediterranean Kidney beans bowl with cabbage;Vegetarian;kidney beans;cabbage | kale;polenta;chimichurri;greek yogurt;Vegetarian;B;5.40
139;Mackerel with gnocchi, asparagus & kale;Fish;mackerel;asparagus | kale;gnocchi;basil sauce;mozzarella;Fish;B;5.40
140;Tuna over pasta;Fish;tuna;sweet corn;pasta;tahini sauce;mozzarella;Fish;B;5.10
141;Turkey with pasta, bell peppers & kale;Poultry;turkey;bell peppers | kale;pasta;olive oil dressing;mozzarella;Poultry;B;5.00
142;Meatballs polenta plate with cauliflower;Red meat;meatballs;cauliflower;polenta;pesto;mozzarella;Red meat;B;5.00
143;Hake bowl with cauliflower;Fish;hake;cauliflower | peas;brown rice;olive oil dressing;ricotta;Fish;B;5.30
144;Smoky Paneer over wild rice;Vegetarian;paneer;mushrooms | squash | eggplant;wild rice;basil sauce;greek yogurt;Vegetarian;B;5.20
145;Roasted eggs with wild rice & vegetables;Vegetarian;eggs;sweet corn | cabbage | squash;wild rice;chimichurri;feta;Vegetarian;B;5.00
146;Grilled Salmon over polenta;Fish;salmon;eggplant | onions | squash;polenta;tahini sauce;mozzarella;Fish;B;5.30
147;Cheese omelette in tomato sauce over sweet potatoes;Vegetarian;cheese omelette;zucchini | beetroot;sweet potatoes;tomato sauce;none;Vegetarian;B;5.00
148;Black beans with udon noodles, sweet corn, cauliflower & eggplant;Vegetarian;black beans;sweet corn | cauliflower | eggplant;udon noodles;basil sauce;cottage cheese;Vegetarian;B;5.20
149;Smoky Hake with onions & brown rice;Fish;hake;onions;brown rice;pesto;greek yogurt;Fish;B;5.00
150;Eggs with gnocchi, onions, squash & tomatoes;Vegetarian;eggs;onions | squash | tomatoes;gnocchi;soy sauce;ricotta;Vegetarian;B;5.40
151;Sesame Tempeh over pasta;Vegetarian;tempeh;spinach | leeks;pasta;olive oil dressing;ricotta;Vegetarian;B;5.00
152;Mediterranean Tempeh over barley;Vegetarian;tempeh;broccoli | sweet corn;barley;pesto;feta;Vegetarian;B;5.30
153;Turkey with couscous, broccoli, leeks & bell peppers;Poultry;turkey;broccoli | leeks | bell peppers;couscous;chimichurri;ricotta;Poultry;B;5.50
154;Smoked turkey gnocchi plate with broccoli;Poultry;smoked turkey;broccoli | onions;gnocchi;pesto;mozzarella;Poultry;B;5.50
155;Veal with wild rice, celery, beetroot & broccoli;Red meat;veal;celery | beetroot | broccoli;wild rice;ginger soy glaze;ricotta;Red meat;B;5.20
156;Buttery Tofu bowl;Vegetarian;tofu;leeks | green beans | asparagus;potatoes;ginger soy glaze;mozzarella;Vegetarian;B;5.00
157;Mackerel with gnocchi, cabbage & asparagus;Fish;mackerel;cabbage | asparagus;gnocchi;olive oil dressing;ricotta;Fish;B;5.50
158;Paneer with brown rice, kale & eggplant;Vegetarian;paneer;kale | eggplant;brown rice;tahini sauce;mozzarella;Vegetarian;B;5.20
159;Grilled Black beans over wild rice;Vegetarian;black beans;mushrooms | broccoli | leeks;wild rice;pesto;none;Vegetarian;B;5.50
160;Veal with barley, mushrooms & zucchini;Red meat;veal;mushrooms | zucchini;barley;tomato sauce;ricotta;Red meat;B;5.10
161;Shrimp tempura with couscous, celery, carrots & sweet corn;Shellfish;shrimp tempura;celery | carrots | sweet corn;couscous;ginger soy glaze;cottage cheese;Shellfish;B;5.00
162;Duck and cabbage brown rice mix;Poultry;duck;cabbage | sweet corn;brown rice;pesto;none;Poultry;B;5.40
163;Salmon in chimichurri over sweet potatoes;Fish;salmon;sweet corn | eggplant;sweet potatoes;chimichurri;mozzarella;Fish;B;5.50
164;Calamari in soy sauce over quinoa;Shellfish;calamari;carrots | onions;quinoa;soy sauce;mozzarella;Shellfish;B;5.40
165;Smoked turkey with polenta, tomatoes & cauliflower;Poultry;smoked turkey;tomatoes | cauliflower;polenta;basil sauce;none;Poultry;B;5.10
166;Black beans and green beans potatoes mix;Vegetarian;black beans;green beans | beetroot | onions;potatoes;tomato sauce;none;Vegetarian;B;5.10
167;Grilled Meatballs over brown rice;Red meat;meatballs;broccoli;brown rice;ginger soy glaze;greek yogurt;Red meat;B;5.10
168;Buttery Whitefish over brown rice;Fish;whitefish;cabbage | leeks | onions;brown rice;tahini sauce;ricotta;Fish;B;5.20
169;Grilled Pork over pasta;Red meat;pork;peas | broccoli;pasta;tomato sauce;ricotta;Red meat;B;5.40
170;Veal with polenta, green beans, asparagus & sweet corn;Red meat;veal;green beans | asparagus | sweet corn;polenta;chimichurri;ricotta;Red meat;B;5.20
171;Roasted Veal with celery & sweet potatoes;Red meat;veal;celery;sweet potatoes;basil sauce;mozzarella;Red meat;B;5.20
172;Tempeh with brown rice, carrots, spinach & broccoli;Vegetarian;tempeh;carrots | spinach | broccoli;brown rice;olive oil dressing;ricotta;Vegetarian;B;5.00
173;Tuna in olive oil dressing over brown rice;Fish;tuna;onions;brown rice;olive oil dressing;feta;Fish;B;5.50
174;Whitefish with gnocchi, bell peppers, kale & spinach;Fish;whitefish;bell peppers | kale | spinach;gnocchi;chimichurri;none;Fish;B;5.40
175;Tangy Salmon with green beans & barley;Fish;salmon;green beans;barley;pesto;greek yogurt;Fish;B;5.00
176;Eggs with rice, onions, cauliflower & cabbage;Vegetarian;eggs;onions | cauliflower | cabbage;rice;basil sauce;ricotta;Vegetarian;B;5.00
177;Calamari over bulgur;Shellfish;calamari;tomatoes | spinach;bulgur;lemon herb sauce;feta;Shellfish;B;5.50
178;Seared tuna with quinoa, bell peppers, sweet corn & beetroot;Fish;seared tuna;bell peppers | sweet corn | beetroot;quinoa;basil sauce;mozzarella;Fish;B;5.40
179;Eggs with bulgur and onions;Vegetarian;eggs;onions;bulgur;tomato sauce;none;Vegetarian;B;5.00
180;Crispy Whitefish over sweet potatoes;Fish;whitefish;sweet corn;sweet potatoes;tahini sauce;cottage cheese;Fish;B;5.00
181;Roasted ham with gnocchi, kale & cabbage;Red meat;roasted ham;kale | cabbage;gnocchi;chimichurri;feta;Red meat;B;5.40
182;Mediterranean Lentils with broccoli, beetroot, zucchini & udon noodles;Vegetarian;lentils;broccoli | beetroot | zucchini;udon noodles;chimichurri;cottage cheese;Vegetarian;B;5.50
183;Grilled Seitan over potatoes;Vegetarian;seitan;mushrooms | bell peppers | cabbage;potatoes;ginger soy glaze;mozzarella;Vegetarian;B;5.50
184;Paneer in basil sauce over sweet potatoes;Vegetarian;paneer;asparagus;sweet potatoes;basil sauce;feta;Vegetarian;B;5.30
185;Tuna in tahini sauce over couscous;Fish;tuna;leeks;couscous;tahini sauce;greek yogurt;Fish;B;5.40
186;Crispy Lamb bowl with peas;Red meat;lamb;peas;couscous;tahini sauce;cottage cheese;Red meat;B;5.00
187;Eggs over quinoa;Vegetarian;eggs;cauliflower | carrots;quinoa;ginger soy glaze;greek yogurt;Vegetarian;B;5.10
188;Tempeh in lemon herb sauce over pasta;Vegetarian;tempeh;carrots | sweet corn;pasta;lemon herb sauce;ricotta;Vegetarian;B;5.10
189;Buttery Chickpeas over couscous;Vegetarian;chickpeas;beetroot;couscous;soy sauce;mozzarella;Vegetarian;B;5.50
190;Turkey with barley, bell peppers, broccoli & green beans;Poultry;turkey;bell peppers | broccoli | green beans;barley;tomato sauce;greek yogurt;Poultry;B;5.00
191;Smoky mackerel with rice, mushrooms, spinach & zucchini;Fish;mackerel;mushrooms | spinach | zucchini;rice;chimichurri;ricotta;Fish;B;5.30
192;Duck in ginger soy glaze over wild rice;Poultry;duck;zucchini | spinach | green beans;wild rice;ginger soy glaze;mozzarella;Poultry;B;5.20
193;Kidney beans with wild rice, eggplant, zucchini & bell peppers;Vegetarian;kidney beans;eggplant | zucchini | bell peppers;wild rice;lemon herb sauce;greek yogurt;Vegetarian;B;5.30
194;Whitefish and beetroot couscous mix;Fish;whitefish;beetroot;couscous;soy sauce;feta;Fish;B;5.00
195;Tuna with sweet potatoes, sweet corn, leeks & bell peppers;Fish;tuna;sweet corn | leeks | bell peppers;sweet potatoes;lemon herb sauce;cottage cheese;Fish;B;5.40
196;Mackerel with gnocchi, onions & mushrooms;Fish;mackerel;onions | mushrooms;gnocchi;tahini sauce;none;Fish;B;5.30
197;Hake with udon noodles, zucchini, spinach & kale;Fish;hake;zucchini | spinach | kale;udon noodles;chimichurri;cottage cheese;Fish;B;5.50
198;Anchovies in tomato sauce over sweet potatoes;Fish;anchovies;zucchini;sweet potatoes;tomato sauce;ricotta;Fish;B;5.30
199;Mackerel with sweet potatoes, onions & peas;Fish;mackerel;onions | peas;sweet potatoes;lemon herb sauce;greek yogurt;Fish;B;5.10
200;Hake with squash & barley;Fish;hake;squash | onions | carrots;barley;soy sauce;mozzarella;Fish;B;5.00
201;Seitan with tomatoes & sweet potatoes;Vegetarian;seitan;tomatoes;sweet potatoes;tomato sauce;none;Vegetarian;B;5.20
202;Whitefish in pesto over potatoes;Fish;whitefish;peas | zucchini | bell peppers;potatoes;pesto;cottage cheese;Fish;B;5.50
203;Tempeh with quinoa, asparagus, carrots & green beans;Vegetarian;tempeh;asparagus | carrots | green beans;quinoa;ginger soy glaze;cottage cheese;Vegetarian;B;5.00
204;Tofu in chimichurri over polenta;Vegetarian;tofu;sweet corn | kale;polenta;chimichurri;cottage cheese;Vegetarian;B;5.10
205;Duck over bulgur;Poultry;duck;spinach;bulgur;tahini sauce;cottage cheese;Poultry;B;5.50
206;Beef with couscous, carrots, green beans & onions;Red meat;beef;carrots | green beans | onions;couscous;soy sauce;greek yogurt;Red meat;B;5.10
